onsen_id,温泉名,地域,写真ACで検索(URL),取得状況,保存ファイル名(例),role,source_name,license,メモ
58,養老渓谷温泉,千葉・大多喜,https://www.photo-ac.com/main/search?q=%E9%A4%8A%E8%80%81%E6%B8%93%E8%B0%B7%E6%B8%A9%E6%B3%89,未,写真AC/養老渓谷温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
59,箱根湯本温泉,神奈川・箱根,https://www.photo-ac.com/main/search?q=%E7%AE%B1%E6%A0%B9%E6%B9%AF%E6%9C%AC%E6%B8%A9%E6%B3%89,未,写真AC/箱根湯本温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
60,黒薙温泉,富山・黒部,https://www.photo-ac.com/main/search?q=%E9%BB%92%E8%96%99%E6%B8%A9%E6%B3%89,未,写真AC/黒薙温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
61,あわら温泉,福井・あわら,https://www.photo-ac.com/main/search?q=%E3%81%82%E3%82%8F%E3%82%89%E6%B8%A9%E6%B3%89,未,写真AC/あわら温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
62,増富温泉,山梨・北杜,https://www.photo-ac.com/main/search?q=%E5%A2%97%E5%AF%8C%E6%B8%A9%E6%B3%89,未,写真AC/増富温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
63,下呂温泉,岐阜・下呂,https://www.photo-ac.com/main/search?q=%E4%B8%8B%E5%91%82%E6%B8%A9%E6%B3%89,未,写真AC/下呂温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
64,新穂高温泉,岐阜・奥飛騨,https://www.photo-ac.com/main/search?q=%E6%96%B0%E7%A9%82%E9%AB%98%E6%B8%A9%E6%B3%89,未,写真AC/新穂高温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
65,熱海温泉,静岡・熱海,https://www.photo-ac.com/main/search?q=%E7%86%B1%E6%B5%B7%E6%B8%A9%E6%B3%89,未,写真AC/熱海温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
66,湯谷温泉,愛知・新城,https://www.photo-ac.com/main/search?q=%E6%B9%AF%E8%B0%B7%E6%B8%A9%E6%B3%89,未,写真AC/湯谷温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
67,榊原温泉,三重・津,https://www.photo-ac.com/main/search?q=%E6%A6%8A%E5%8E%9F%E6%B8%A9%E6%B3%89,未,写真AC/榊原温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
68,おごと温泉,滋賀・大津,https://www.photo-ac.com/main/search?q=%E3%81%8A%E3%81%94%E3%81%A8%E6%B8%A9%E6%B3%89,未,写真AC/おごと温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
69,湯の花温泉,京都・亀岡,https://www.photo-ac.com/main/search?q=%E6%B9%AF%E3%81%AE%E8%8A%B1%E6%B8%A9%E6%B3%89,未,写真AC/湯の花温泉.jpg,hero,写真AC,AC Works License(クレジット不要),
